article,line_no,phrase,global_citations
"Ibarguen-Valverde JL, 2017, DYNA, V84, P184",1,has led our civilization to deal a major challenge: turning industrialized economies into sustainable industrial systems.,0
"Ibarguen-Valverde JL, 2017, DYNA, V84, P184",2,"the indicators of energetic performance achieve to improve the productive-energetic capacity of any organization and contribute to generate economic value, to reach the competitiveness and to mitigate the environmental impact.",0
"Ibarguen-Valverde JL, 2017, DYNA, V84, P184",3,in the present research established the indicators of thermal energetic performance in one of nine high-roasting industry of coffee which cover more 90% of market in colombia.,0
"Ibarguen-Valverde JL, 2017, DYNA, V84, P184",4,the methodology used was based on the integral model of energy management.,0
"Ibarguen-Valverde JL, 2017, DYNA, V84, P184",5,"this study allowed to identify factors that affect directly the use and consumption of energy as the maintenance, the leaks of heat and lack of pressure and air calibration according to required power and to determine the scale of savings and expense in excess of thermal energy and co2 amounts.",0
"Ibarguen-Valverde JL, 2017, DYNA, V84, P184",6,the author.,0
"Ibarguen-Valverde JL, 2017, DYNA, V84, P184",7,licensee universidad nacional de colombia.,0
"Guevara-Ortega LM, 2017, DYNA, V84, P177",0,developed countries have implemented sustainable development policies specifically in sustainable consumption and production.,1
"Guevara-Ortega LM, 2017, DYNA, V84, P177",1,"the green procurement process is often considered critical for the adequate performance of the supply chain because it manages and guarantees the acquisition of the products/ services so that the company fulfills its missionary activities, generating economic benefits, mitigating the effects of its activities in the environment and society.",1
"Guevara-Ortega LM, 2017, DYNA, V84, P177",2,"this article, presents a model for the green procurement process, based on a tool for the modeling of complex discrete event systems called coloured petri nets (cpn).",1
"Guevara-Ortega LM, 2017, DYNA, V84, P177",3,the author.,1
"Guevara-Ortega LM, 2017, DYNA, V84, P177",4,licensee universidad nacional de colombia.,1
"Luna-Amaya C, 2017, DYNA, V84, P220",0,"this article provides a productive development model, based on an analysis of the productive chain of spanish fishing sector in general.",0
"Luna-Amaya C, 2017, DYNA, V84, P220",1,it is constructed from the behavior diagnostic of each of the chain links and the different organizations of the science and technology.,0
"Luna-Amaya C, 2017, DYNA, V84, P220",2,"the model determines theoretically, optimal quantities, prices and economic benefits, using game theory, the nash equilibrium and pareto optimality, following the criteria of the cournot and bertrand models for products poorly differentiated and with similar business sizes.",0
"Luna-Amaya C, 2017, DYNA, V84, P220",3,"the results show that each fishing production unit has to capture, process and sell on average 280 kilograms per day, in order to maximize economic efficiency.",0
"Luna-Amaya C, 2017, DYNA, V84, P220",4,the author.,0
"Luna-Amaya C, 2017, DYNA, V84, P220",5,licensee universidad nacional de colombia.,0
"Blanco-Londono SA, 2017, DYNA, V84, P126",0,water management systems in general and urban drainage systems (uds) in particular should be designed to ensure not only the provision of public service but also their sustainability and resilience.,2
"Blanco-Londono SA, 2017, DYNA, V84, P126",1,"this paper performed an analysis and assessment to identify the factors, variables and indicators of resilience for sustainable uds management by using an information management tool for scientific subjects.",2
"Blanco-Londono SA, 2017, DYNA, V84, P126",2,"as a result of this analysis, four water resource resilience factors were identified: i. flexibility.",2
"Blanco-Londono SA, 2017, DYNA, V84, P126",3,ii.,2
"Blanco-Londono SA, 2017, DYNA, V84, P126",4,resourcefulness.,2
"Blanco-Londono SA, 2017, DYNA, V84, P126",5,iii.,2
"Blanco-Londono SA, 2017, DYNA, V84, P126",6,redundancy.,2
"Blanco-Londono SA, 2017, DYNA, V84, P126",7,and iv.,2
"Blanco-Londono SA, 2017, DYNA, V84, P126",8,robustness.,2
"Blanco-Londono SA, 2017, DYNA, V84, P126",9,"in addition, six uds resilience variables were identified: i. recovery capacity.",2
"Blanco-Londono SA, 2017, DYNA, V84, P126",10,ii.,2
"Blanco-Londono SA, 2017, DYNA, V84, P126",11,response capacity.,2
"Blanco-Londono SA, 2017, DYNA, V84, P126",12,iii.,2
"Blanco-Londono SA, 2017, DYNA, V84, P126",13,amplitude.,2
"Blanco-Londono SA, 2017, DYNA, V84, P126",14,iv.,2
"Blanco-Londono SA, 2017, DYNA, V84, P126",15,absorption capacity.,2
"Blanco-Londono SA, 2017, DYNA, V84, P126",16,v. resistance capacity.,2
"Blanco-Londono SA, 2017, DYNA, V84, P126",17,and vi.,2
"Blanco-Londono SA, 2017, DYNA, V84, P126",18,response curve.,2
"Blanco-Londono SA, 2017, DYNA, V84, P126",19,corresponding indicators were proposed to quantify these variables.,2
"Blanco-Londono SA, 2017, DYNA, V84, P126",20,the identified elements contribute to the development of integrated frameworks to assess uds resilience.,2
"Blanco-Londono SA, 2017, DYNA, V84, P126",21,the author.,2
"Blanco-Londono SA, 2017, DYNA, V84, P126",22,licensee universidad nacional de colombia.,2
"Malleuve-Martnez A, 2017, DYNA, V84, P349",0,"enterprise architecture as information communication technologies (icts) integration approach, and the theory of integration of management system in enterprises(imse) have as common element the integration.",4
"Malleuve-Martnez A, 2017, DYNA, V84, P349",1,"however imse couldn t develop capacities for icts integrated administration since management perspective, in a competitively business context marked for an efficient management of icts to achieve strategic goals.",4
"Malleuve-Martnez A, 2017, DYNA, V84, P349",2,in this article is proposed an instrument for assessing interrelated variables of enterprise architecture in a strategic management model based on integration theory of management system in enterprises.,4
"Malleuve-Martnez A, 2017, DYNA, V84, P349",3,"the instrument`s application in park view hotel allowed to identify causes of low behaviors in important variables such as: business actors relationship and technological vigilance, this represent an advantage for focusing improvement areas and developing enterprise architecture capacities in strategic management process hotel`s.",4
"Malleuve-Martnez A, 2017, DYNA, V84, P349",4,the author.,4
"Malleuve-Martnez A, 2017, DYNA, V84, P349",5,licensee universidad nacional de colombia.,4
"Lopez-Lopez JF, 2017, DYNA, V84, P214",0,"in this work, vibration analysis and gaussian processes techniques are used in useful life prognostics of ball bearings.",2
"Lopez-Lopez JF, 2017, DYNA, V84, P214",1,"the database is provided by the prognostics data repository from nasa, and shows the failure evolution in ball bearings.",2
"Lopez-Lopez JF, 2017, DYNA, V84, P214",2,the data basis also provides training and validation data sets for ball bearing useful life prediction.,2
"Lopez-Lopez JF, 2017, DYNA, V84, P214",3,"several time and frequency characteristics are extracted from ball bearing vibration signals for trending analysis, and finally one of these is taken as input for the gaussian process and describe, with a probabilistic strategy, the failure evolution system.",2
"Lopez-Lopez JF, 2017, DYNA, V84, P214",4,"no dimensionality reduction algorithm is used in this paper, only the evaluation of trends in failure evolution is taken for decision.",2
"Lopez-Lopez JF, 2017, DYNA, V84, P214",5,this data basis was used in 2012 ieee classification contest.,2
"Lopez-Lopez JF, 2017, DYNA, V84, P214",6,several participants used classification techniques based on time-frequency transformation and artificial intelligence algorithms but none of them used gaussian processes in a classification scheme.,2
"Lopez-Lopez JF, 2017, DYNA, V84, P214",7,"although, the present work does not have the best results in classification it does show a major simplicity in formulation and implementation than most of the classification schemes.",2
"Lopez-Lopez JF, 2017, DYNA, V84, P214",8,the author.,2
"Lopez-Lopez JF, 2017, DYNA, V84, P214",9,licensee universidad nacional de colombia.,2
"Salazar-Pereyra M, 2017, DYNA, V84, P273",0,"the thermodynamic analysis of the geothermal power plants with dry vapor, flash steam and hybrid cycles in function to the geothermal resource conditions and the pressure of the first flash chamber was made, considering the steam quality of the last stage of expansion as operating limit constraint.",2
"Salazar-Pereyra M, 2017, DYNA, V84, P273",1,obtaining the specific work curves of the steam turbines and the temperature profiles of the binary cycle.,2
"Salazar-Pereyra M, 2017, DYNA, V84, P273",2,"for saturated steam configurations, the arrangement with three flash cameras presents the highest thermal and exergy efficiency, and steam turbines specific work, for example at a temperature of 200  c, the maximum work generated is 80.11 kj / kg with a pressure of the first flash chamber of 6.0 bar, thermal and exergetic efficiency of 10.7% and 44.0% respectively, this is mainly due to the increase of steam enthalpy and exergy.",2
"Salazar-Pereyra M, 2017, DYNA, V84, P273",3,the author.,2
"Salazar-Pereyra M, 2017, DYNA, V84, P273",4,licensee universidad nacional de colombia.,2
"Guzman-Velasquez IC, 2017, DYNA, V84, P240",0,this paper presents two pattern recognition approaches using partial discharges fingerprints as input features to classify pd patterns.,6
"Guzman-Velasquez IC, 2017, DYNA, V84, P240",1,a multi-layer perceptron (mlp) backpropagation neural network and a support vector machine (svm) were trained to recognize three types of pd patterns.,6
"Guzman-Velasquez IC, 2017, DYNA, V84, P240",2,experimental results showed that the algorithms can achieve high recognition rates.,6
"Guzman-Velasquez IC, 2017, DYNA, V84, P240",3,"moreover, the discrete wavelet transform (dwt) was used to denoise pd signals as a prior stage to the classification process.",6
"Guzman-Velasquez IC, 2017, DYNA, V84, P240",4,different mother wavelets were tested for different levels of decomposition in order to find appropriate wavelet parameters for better signal to noise ratio (snr) and less distortion after the denoising process.,6
"Guzman-Velasquez IC, 2017, DYNA, V84, P240",5,the author.,6
"Guzman-Velasquez IC, 2017, DYNA, V84, P240",6,licensee universidad nacional de colombia.,6
"Miranda-Giraldo M, 2017, DYNA, V84, P150",0,micro-machining of different polymer based components often require high precision and excellent surface quality at high production rates with low costs.,4
"Miranda-Giraldo M, 2017, DYNA, V84, P150",1,micro-milling is a cost-efficient micro-machining process capable of generating complex shapes in a wide range of materials.,4
"Miranda-Giraldo M, 2017, DYNA, V84, P150",2,"challenges based on size effect, burr formation and adequate chip removal must be faced and are addressed in this research.",4
"Miranda-Giraldo M, 2017, DYNA, V84, P150",3,"material removal mechanisms, as well as its impact on burr formation and control are reviewed, followed by a case study through the application of gaseous cooling based on vortex tubes.",4
"Miranda-Giraldo M, 2017, DYNA, V84, P150",4,"different vortex generator configurations were tested, proving to be fast response an economically-friendly alternative for burr reduction while micro-milling biopolymers.",4
"Miranda-Giraldo M, 2017, DYNA, V84, P150",5,"configurations, as mentioned above, were used for biopolymer micro-milling towards burr measurement after each test.",4
"Miranda-Giraldo M, 2017, DYNA, V84, P150",6,"achieving as a result, a burr reduction while cooling temperature decreases.",4
"Miranda-Giraldo M, 2017, DYNA, V84, P150",7,the author.,4
"Miranda-Giraldo M, 2017, DYNA, V84, P150",8,licensee universidad nacional de colombia.,4
"Belete-Fuentes O, 2017, DYNA, V84, P257",0,"based on the decision to automate the solution of an optimization problem related to the selection of an ""n"" number of geological exploration wells in a reservoir, which reflects the general characteristics of the well and having the mathematical models created for that purpose, arises the need to look for some alternative that allows to obtain the solutions of the raised problem.",1
"Belete-Fuentes O, 2017, DYNA, V84, P257",1,"the mathematical models created generate a system formed by an objective function, several constraints in the form of inequalities and an additional restriction, in the form of equality: a classic problem of selection.",1
"Belete-Fuentes O, 2017, DYNA, V84, P257",2,this type of problem has solutions of non-polynomial computational complexity.,1
"Belete-Fuentes O, 2017, DYNA, V84, P257",3,"for this reason, instead of implementing complex algorithms, it was decided to design an automated tool based on the use of genetic algorithms.",1
"Belete-Fuentes O, 2017, DYNA, V84, P257",4,"an automated application was created for the solution of the problem of selection of a described mining sample, being able to implement a low complexity computational solution.",1
"Belete-Fuentes O, 2017, DYNA, V84, P257",5,the author.,1
"Belete-Fuentes O, 2017, DYNA, V84, P257",6,licensee universidad nacional de colombia.,1
"Moreno-Lopez GA, 2017, DYNA, V84, P160",0,"although icts have strengthened educational processes, there are still some challenges on flexibility and convergence, among others.",1
"Moreno-Lopez GA, 2017, DYNA, V84, P160",1,"in this article, we propose a ubiquitous learning model (u-learning) that can have a positive impact on the teaching/ learning process since it considers video as an important element which can be displayed on any screen at any time and place.",1
"Moreno-Lopez GA, 2017, DYNA, V84, P160",2,"besides indicating the elements making part of the model, alternatives of implementation, uses of video and experimentation with a cloud supported video platform are shown here.",1
"Moreno-Lopez GA, 2017, DYNA, V84, P160",3,"the results demonstrate an optimal deployment of the video at different devices when using a multi-screen video platform connected to the internet, and show this model as a good reference to projects an u-learning service.",1
"Moreno-Lopez GA, 2017, DYNA, V84, P160",4,the author.,1
"Moreno-Lopez GA, 2017, DYNA, V84, P160",5,licensee universidad nacional de colombia.,1
"Astaiza-Hoyos E, 2017, DYNA, V84, P110",0,in this paper is proposed a novel cooperative primary user (pu) detection algorithm in multiband environments (wideband spectrum sensing-wbss) based on sub-nyquist sampling and matrix completion.,0
"Astaiza-Hoyos E, 2017, DYNA, V84, P110",1,"in this way, addressing the problem of large number of samples to be processed when multiband signals are sampled at nyquist rate or higher rates, seeking to improve the performance of wideband spectrum sensing in terms of detection probability.",0
"Astaiza-Hoyos E, 2017, DYNA, V84, P110",2,the simulation results show that the presented algorithm allows the improvement of the wbss performance in terms of detection probability and the receivers operational characteristics compared to other cooperative wbss algorithms based on sub-nyquist sampling.,0
"Astaiza-Hoyos E, 2017, DYNA, V84, P110",3,the author.,0
"Astaiza-Hoyos E, 2017, DYNA, V84, P110",4,licensee universidad nacional de colombia.,0
"Guerrero-Perez JS, 2017, DYNA, V84, P143",0,this study describes the development and formulation of a novel mathematical model for coal flotation kinetic.,4
"Guerrero-Perez JS, 2017, DYNA, V84, P143",1,"the flotation rate was considered as a function of chemical, operating and petrographic parameters for a global flotation order n. the equation for flotation rate was obtained by dimensional analysis using the rayleigh method.",4
"Guerrero-Perez JS, 2017, DYNA, V84, P143",2,"it shows the dependency of flotation kinetic on operating parameters, such as air velocity and particle size.",4
"Guerrero-Perez JS, 2017, DYNA, V84, P143",3,"chemical parameters, such as reagents dosage and solids content.",4
"Guerrero-Perez JS, 2017, DYNA, V84, P143",4,and mineral and maceral composition of coal.,4
"Guerrero-Perez JS, 2017, DYNA, V84, P143",5,"the flotation rate equation integrates the kinetic coefficient and the intrinsic characteristics of coal with dimensional consistency, and it is expressed by three dimensionless numbers which have physical chemical meaning.",4
"Guerrero-Perez JS, 2017, DYNA, V84, P143",6,the model also exhibits similarities with traditional transport phenomena models represented by dimensionless numbers and predicts the flotation kinetic constant of a colombian coal sample showing a good correlation between experimental and calculated values.,4
"Guerrero-Perez JS, 2017, DYNA, V84, P143",7,the author.,4
"Guerrero-Perez JS, 2017, DYNA, V84, P143",8,licensee universidad nacional de colombia.,4
"Castro DM, 2017, DYNA, V84, P192",0,"the internet of things (iot) is a new technological paradigm that allows any object or thing to be connected to other things, services or people through the internet.",11
"Castro DM, 2017, DYNA, V84, P192",1,"iot brings tools for empowering working areas such as health, logistics, industry, security, agriculture and environment.",11
"Castro DM, 2017, DYNA, V84, P192",2,"in this paper, we introduce a comprehensive survey of iot technologies, methods, statistics and success cases applied to healthcare.",11
"Castro DM, 2017, DYNA, V84, P192",3,"in the last section its talked about the work done in this subject on the colombian context, including successful applications and current projects.",11
"Castro DM, 2017, DYNA, V84, P192",4,the author.,11
"Castro DM, 2017, DYNA, V84, P192",5,licensee universidad nacional de colombia.,11
"Olaya-Ochoa J, 2017, DYNA, V84, P343",0,"we discuss the estimation of the pm2.5/pm10 fraction, which some authors report as the pm2.5/pm10 ratio.",0
"Olaya-Ochoa J, 2017, DYNA, V84, P343",1,previous studies highlight the importance of this fraction in the study of the impact of airborne particles on human health and their potential use in reconstruction and imputation of pm2.5 fine particle hourly levels from the pm10 coarse particle hourly levels.,0
"Olaya-Ochoa J, 2017, DYNA, V84, P343",2,we suggest adapting the estimation process using different strategies for particular situations.,0
"Olaya-Ochoa J, 2017, DYNA, V84, P343",3,"we used the general linear model (glm), the regression through the origin model (rto), the generalized additive models (gam) and the regression models based on weighted least squares (wls).",0
"Olaya-Ochoa J, 2017, DYNA, V84, P343",4,the author.,0
"Olaya-Ochoa J, 2017, DYNA, V84, P343",5,licensee universidad nacional de colombia.,0
"Copete-Lopez H, 2017, DYNA, V84, P170",0,"numerical simulations were carried out by jets et poudres software, and the results obtained were used to deposit hydroxyapatite coatings through oxyfuel flame spraying process, in order to improve its adhesion onto ti6al4v substrates.",3
"Copete-Lopez H, 2017, DYNA, V84, P170",1,"the effect of a neutral, an oxidizing and a super-oxidizing flames, as well as the spray distance between the substrate and the torch (7, 9.5 and 12 cm), on dimensionless k-sommerfeld (k) number was determined.",3
"Copete-Lopez H, 2017, DYNA, V84, P170",2,"the dimensionless number is highly influenced by the spraying distance, while an effect of the flame type was not evident.",3
"Copete-Lopez H, 2017, DYNA, V84, P170",3,"the sommerfeld number in coatings manufactured at 12 cm is between 34 and 37 and the homogeneity in their structure is higher than in those sprayed at 7 and 9.5 cm, in which unmelted particles (k=0) or splashing (k75) were observed, decreasing the adhesion of coatings.",3
"Copete-Lopez H, 2017, DYNA, V84, P170",4,the author.,3
"Copete-Lopez H, 2017, DYNA, V84, P170",5,licensee universidad nacional de colombia.,3
"Gonzalez-Betancourt M, 2017, DYNA, V84, P101",0,this paper presents some experimental results to determine the incidence of mechanized sowing speed in the development and growth of rice in el espinal-tolima.,0
"Gonzalez-Betancourt M, 2017, DYNA, V84, P101",1,"using a completely randomized design and a seed density of 104.5  3.3 kg/ha, plots were sown in three replicates at 3.31  0.05 km/h, 5.13  0.18 km/h, and 6.98  0.24 km/h.",0
"Gonzalez-Betancourt M, 2017, DYNA, V84, P101",2,"plant population, plant weight, dry matter, moisture content, and yield showed statistically significant differences with respect to sowing speed.",0
"Gonzalez-Betancourt M, 2017, DYNA, V84, P101",3,"this research found that the sowing speed has a proportional relationship with: a) the percentage of plants grouped in their roots, b) the number of non-productive tillers, c) the fuel consumed rate, d) uncovered seed, e) effective field capacity.",0
"Gonzalez-Betancourt M, 2017, DYNA, V84, P101",4,the sowing speed of 5.13  0.18 km/h was achieved by plants with a higher number of panicles per m2 and yield: this is optimal.,0
"Gonzalez-Betancourt M, 2017, DYNA, V84, P101",5,the author.,0
"Gonzalez-Betancourt M, 2017, DYNA, V84, P101",6,licensee universidad nacional de colombia.,0
"Soto-Paz J, 2017, DYNA, V84, P334",0,biowaste is the main fraction of msw in developing countries.,7
"Soto-Paz J, 2017, DYNA, V84, P334",1,composting is a promising alternative for the management of biowaste in these contexts.,7
"Soto-Paz J, 2017, DYNA, V84, P334",2,"however, its implementation has not been effective in developing countries, for which it is necessary to explore options to improve its application in this context.",7
"Soto-Paz J, 2017, DYNA, V84, P334",3,this article reviewed the research trends on biowaste composting and the potential application in developing countries such as colombia.,7
"Soto-Paz J, 2017, DYNA, V84, P334",4,"for this purpose, the technology monitoring methodology was used in databases of specialized scientific journals (period 2006 to 2017), using bibliometric tools such as refviz and tlab.",7
"Soto-Paz J, 2017, DYNA, V84, P334",5,"the research has focused on optimizing the process through measures such as the use of amendment or support materials, strategies for reducing nitrogen losses, aerobic biodegradability studies and the development of empirical models to predict process conditions.",7
"Soto-Paz J, 2017, DYNA, V84, P334",6,the integration of this research in the context of developing countries can contribute to improve the application of biowaste composting.,7
"Soto-Paz J, 2017, DYNA, V84, P334",7,the author.,7
"Soto-Paz J, 2017, DYNA, V84, P334",8,licensee universidad nacional de colombia.,7
"Torres-Sandoval FA, 2017, DYNA, V84, P263",0,a cross-sectional observational study with descriptive and analytical approach that aims at determining unsafe behavior of bus drivers from a company of public transportation and its relation to traffic accidents was conducted in a probability sample of 127 drivers.,3
"Torres-Sandoval FA, 2017, DYNA, V84, P263",1,the results showed that drivers performed an average of 86.86 unsafe driving behaviors for every two hours of travel time.,3
"Torres-Sandoval FA, 2017, DYNA, V84, P263",2,"the most frequent behavior was speeding, while not keeping a safe distance was the main cause of the company's bus accidents.",3
"Torres-Sandoval FA, 2017, DYNA, V84, P263",3,the correlation between unsafe behavior and causes of accidents in the company was positive but non-significant.,3
"Torres-Sandoval FA, 2017, DYNA, V84, P263",4,"the information gathered will allow to modify behaviors from unsafe to safe, as a future strategy for the improvement of road safety.",3
"Torres-Sandoval FA, 2017, DYNA, V84, P263",5,the author.,3
"Torres-Sandoval FA, 2017, DYNA, V84, P263",6,licensee universidad nacional de colombia.,3
"Mariela L-AB, 2017, DYNA, V84, P316",0,"making decisions is an important part of the work of any professional depending largely on the quality of the data and techniques used, which have limitations when the sample size is small and there is much variability in the observations.",0
"Mariela L-AB, 2017, DYNA, V84, P316",1,a methodology based on bootstrap is used in the analysis of correlation between hemodynamic parameters within the aneurysmal sac and geometric indices characterizing aneurysms of the abdominal aorta (aaa) by studying a sample of 13-aneurysm patients of the university hospital of valladolid.,0
"Mariela L-AB, 2017, DYNA, V84, P316",2,"the indices that best correlate with hemodynamics parameters are length, the eccentricity and the diameter of the iliac right.",0
"Mariela L-AB, 2017, DYNA, V84, P316",3,the results are very similar to those obtained by conventional methods.,0
"Mariela L-AB, 2017, DYNA, V84, P316",4,provide a reliable alternative to support decision-making.,0
"Mariela L-AB, 2017, DYNA, V84, P316",5,the author.,0
"Mariela L-AB, 2017, DYNA, V84, P316",6,licensee universidad nacional de colombia.,0
"Ayala-Aponte AA, 2017, DYNA, V84, P208",0,"the aim of this study was to evaluate the influence of osmotic treatments on the freezing rate, drip loss (dl), elastic modulus (em) and stress of yield limit (l) of papaya (carica papaya l.) samples stored under freezing conditions.",2
"Ayala-Aponte AA, 2017, DYNA, V84, P208",1,dehydration was performed using an osmotic sucrose solution with 55 and 45 obrix for 30 and 90 min.,2
"Ayala-Aponte AA, 2017, DYNA, V84, P208",2,"osmotically dehydrated papaya samples were frozen at-40c and stored for 10, 20, 30 and 60 days.",2
"Ayala-Aponte AA, 2017, DYNA, V84, P208",3,fresh fruit was used as a control sample during freezing storage.,2
"Ayala-Aponte AA, 2017, DYNA, V84, P208",4,the results showed the treated samples exhibited lower drip loss with respect to control samples.,2
"Ayala-Aponte AA, 2017, DYNA, V84, P208",5,it was observed that elastic modulus in treated samples showed higher values compared to control samples.,2
"Ayala-Aponte AA, 2017, DYNA, V84, P208",6,"conversely, l had achieved a decreasing for all treatments during freezing storage and treated samples exhibited higher l values with respect to control samples.",2
"Ayala-Aponte AA, 2017, DYNA, V84, P208",7,the author.,2
"Ayala-Aponte AA, 2017, DYNA, V84, P208",8,licensee universidad nacional de colombia.,2
"Vyhmeister E, 2017, DYNA, V84, P226",0,"simulations of vapor-liquid equilibrium (vle) are widely used given their impact on the scale, design, and extrapolation of different operational units.",0
"Vyhmeister E, 2017, DYNA, V84, P226",1,"however, due to a number of factors, it is almost impossible to experimentally study each of the vle systems.",0
"Vyhmeister E, 2017, DYNA, V84, P226",2,vle simulations can be developed using representations that are strongly dependent on the nature and interactions of the compounds forming mixtures.,0
"Vyhmeister E, 2017, DYNA, V84, P226",3,a model that helps in predicting these interactions would facilitate simulation processes.,0
"Vyhmeister E, 2017, DYNA, V84, P226",4,"a gray box neural network model (gnm) was created as binary interaction parameters predictors (bip), which are estimated using state variables and information from pure components.",0
"Vyhmeister E, 2017, DYNA, V84, P226",5,this information was used to predict vle behavior in mixtures and ranges not used in the mathematical formulation.,0
"Vyhmeister E, 2017, DYNA, V84, P226",6,"the gnm prediction capabilities (including temperature dependency) showed an error level lower than 5% and 20% for mixtures considered and not considered in the training data, respectively.",0
"Vyhmeister E, 2017, DYNA, V84, P226",7,the author.,0
"Vyhmeister E, 2017, DYNA, V84, P226",8,licensee universidad nacional de colombia.,0
"Naula-Sigua FB, 2017, DYNA, V84, P95",0,"the ecuadorian government has been proposed to introduce in a massive scale in the national market, the use of induction stoves as a replacement of the lpg stove (liquefied petroleum gas).",0
"Naula-Sigua FB, 2017, DYNA, V84, P95",1,"nevertheless, when choosing the induction stove, by the citizens, in addition to economic factors other factors could be taken into consideration, but they could fall into subjectivism.",0
"Naula-Sigua FB, 2017, DYNA, V84, P95",2,"in other words, multiple criteria should be also considered.",0
"Naula-Sigua FB, 2017, DYNA, V84, P95",3,"this article contributes with a method of support that suggests the user a possible best option, taking into account qualitative and quantitative criteria as well.",0
"Naula-Sigua FB, 2017, DYNA, V84, P95",4,possible scenarios are also analyzed and also their impact in the final decision.,0
"Naula-Sigua FB, 2017, DYNA, V84, P95",5,the author.,0
"Naula-Sigua FB, 2017, DYNA, V84, P95",6,licensee universidad nacional de colombia.,0
"Damasceno FA, 2017, DYNA, V84, P118",0,the main objective of this study was to experimentally validate a mechanistic model for predicting the cooling efficiency () of wetted porous plates built with expanded clay.,2
"Damasceno FA, 2017, DYNA, V84, P118",1,"the expanded clay material was physically characterized by specific mass, surface area, and volume.",2
"Damasceno FA, 2017, DYNA, V84, P118",2,"the model was validated with dry bulb temperature (tdb, c) and air relative humidity (rh, %) data, which were continuously monitored in two different points, upstream and downstream the direction of the air passing through the porous plate.",2
"Damasceno FA, 2017, DYNA, V84, P118",3,"data collection was carried out consecutively for a period of 10 days, between 11:00 a.m. and 4:00 p.m. average values for , simulated and observed, were 74.8  7.4% and 68.3  8.3%, respectively.",2
"Damasceno FA, 2017, DYNA, V84, P118",4,"based on the developed model, it was observed that  was higher than 40% for tdb &gt.",2
"Damasceno FA, 2017, DYNA, V84, P118",5,30 c and constant rh at 45%.,2
"Damasceno FA, 2017, DYNA, V84, P118",6,"the simulation for predictions indicates that the increase in the air temperature greater than 20 c may affect negatively the production in greenhouses from states located in tropical and subtropical countries as minas gerais, brazil, if some design criteria in the evaporative cooling system are not revised.",2
"Damasceno FA, 2017, DYNA, V84, P118",7,the author.,2
"Damasceno FA, 2017, DYNA, V84, P118",8,licensee universidad nacional de colombia.,2
"Leite JGL, 2017, DYNA, V84, P322",0,the paper presents a methodological study performing a prioritization of the pestel analysis factors on the pre-construction and assembly environments of large civil engineering projects.,1
"Leite JGL, 2017, DYNA, V84, P322",1,the objective is to test if it is possible to use the decision making support methodology macbeth to generate a hierarchy scale among criteria that might behave as a pareto distribution.,1
"Leite JGL, 2017, DYNA, V84, P322",2,"according to an expert choice, four of the ten alternatives represent 72.16% of the preference of the consulted expert.",1
"Leite JGL, 2017, DYNA, V84, P322",3,"the answer does not represent a pareto distribution, but does not invalidate the hypothesis.",1
"Leite JGL, 2017, DYNA, V84, P322",4,it is possible that the judgment of some specialist comes closer to such a phenomenon.,1
"Leite JGL, 2017, DYNA, V84, P322",5,the author.,1
"Leite JGL, 2017, DYNA, V84, P322",6,licensee universidad nacional de colombia.,1
"Escobar-Sierra DM, 2017, DYNA, V84, P134",0,"the aim of this research was to develop membranes of polyvinyl alcohol (pva) and chitosan (ch), capable of absorbing an aloe vera solution and gradually releasing to accelerate wound healing.",11
"Escobar-Sierra DM, 2017, DYNA, V84, P134",1,"the methodology involved varying the membranes composition using chitosan and polyvinyl alcohol at 5 and 10% w/v, and implementing different pva/ch relations of 30/70, 50/50 and 70/30 (v/v) and embed them in a 2% (v/v) aloe vera solution to create hydrogels.",11
"Escobar-Sierra DM, 2017, DYNA, V84, P134",2,"once hydrogels were obtained, they were characterized by infrared spectroscopy and scanning electronic microscopy, and evaluated by mechanical and absorption tests as well as bactericide activity assays.",11
"Escobar-Sierra DM, 2017, DYNA, V84, P134",3,"the crosslinking degree between pva/ch allowed obtaining a matrix with high absorption capacity and with gradual release of aloe vera, with mechanical properties and dimensional stability even after rehydration.",11
"Escobar-Sierra DM, 2017, DYNA, V84, P134",4,"bactericide assays showed chitosan and aloe vera protective activity, which indicates this compound may be suitable for applications that help in wound healing.",11
"Escobar-Sierra DM, 2017, DYNA, V84, P134",5,the author.,11
"Escobar-Sierra DM, 2017, DYNA, V84, P134",6,licensee universidad nacional de colombia.,11
"Rene Santa Cruz R, 2017, DYNA, V84, P9",0,this article aims to study the intermittent demand forecasting for a specific type of spare part of a brazilian refrigeration industry that commercialize its products in the latin american market.,2
"Rene Santa Cruz R, 2017, DYNA, V84, P9",1,demand characterization is performed in terms of their intermittency and variability.,2
"Rene Santa Cruz R, 2017, DYNA, V84, P9",2,"results are obtained with classical intermittent forecasting methods outside the sample: croston, syntetos-boylan approximation (sba), shale-boylan-johnston correction (sbj), multiple aggregation prediction algorithm (mapa) and with artificial neural networks (ann) based models.",2
"Rene Santa Cruz R, 2017, DYNA, V84, P9",3,root mean square error (rmse) and mean absolute error (mae) are used for comparison and selection of forecast model.,2
"Rene Santa Cruz R, 2017, DYNA, V84, P9",4,the comparative analysis results shows that the predictions based on a simple three-layer ann model trained with the resilient backpropagation algorithm present better performance.,2
"Rene Santa Cruz R, 2017, DYNA, V84, P9",5,"the calculations were performed using r software with rstudio, ""forecast"", ""tsintermittent"" and ""neuralnet"" libraries.",2
